,Storm identification number,storm name,monthdaytime,year,latitude (deg N),longitude (deg W),maximum wind speed (kt),minimum central pressure (hPa),radius of maximum wind speed (nm),eye diameter (nm),pressure of the outer closed isobar (hPa),radius of the outer closed isobar (nm),radii (nm) of 34 kt wind to the NE,radii (nm) of 34 kt wind to the SE,radii (nm) of 34 kt wind to the SW,radii (nm) of 34 kt wind to the NW,radii (nm) of 50 kt wind to the NE,radii (nm) of 50 kt wind to the SE,radii (nm) of 50 kt wind to the SW,radii (nm) of 50 kt wind to the NW,radii (nm) of 64 kt wind to the NE,radii (nm) of 64 kt wind to the SE,radii (nm) of 64 kt wind to the SW,radii (nm) of 64 kt wind to the NW,storm type code,distance to the nearest major landmass (km)
3530,AL0498 ,DANIELLE  ,82606,1998,18.4,49.1,90,975,30.0,,1010.0,180.0,70.0,70.0,70.0,70.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1508.0
3531,AL0498 ,DANIELLE  ,82612,1998,19.1,51.1,85,980,30.0,10.0,1010.0,180.0,70.0,70.0,70.0,70.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1407.0
3532,AL0498 ,DANIELLE  ,82618,1998,19.7,52.8,80,985,30.0,10.0,1010.0,180.0,70.0,70.0,70.0,70.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1323.0
3533,AL0498 ,DANIELLE  ,82700,1998,20.1,54.9,80,993,30.0,,1012.0,180.0,120.0,60.0,60.0,120.0,50.0,30.0,30.0,50.0,25.0,20.0,20.0,25.0,* ,1151.0
3534,AL0498 ,DANIELLE  ,82706,1998,20.6,56.7,85,994,30.0,,1012.0,180.0,120.0,60.0,60.0,120.0,75.0,40.0,40.0,50.0,40.0,20.0,0.0,25.0,* ,977.0
3535,AL0498 ,DANIELLE  ,82712,1998,21.2,58.5,90,994,30.0,,1012.0,180.0,120.0,60.0,60.0,120.0,75.0,20.0,20.0,75.0,40.0,0.0,0.0,40.0,* ,819.0
3536,AL0498 ,DANIELLE  ,82718,1998,21.8,60.1,85,994,30.0,,1012.0,120.0,120.0,60.0,60.0,120.0,75.0,40.0,40.0,75.0,40.0,0.0,0.0,40.0,* ,702.0
3537,AL0498 ,DANIELLE  ,82800,1998,22.4,61.7,80,992,20.0,20.0,1012.0,120.0,100.0,50.0,50.0,100.0,60.0,30.0,30.0,60.0,30.0,30.0,30.0,30.0,* ,617.0
3538,AL0498 ,DANIELLE  ,82806,1998,22.7,63.2,80,992,20.0,20.0,1012.0,150.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,0.0,0.0,30.0,* ,550.0
3539,AL0498 ,DANIELLE  ,82812,1998,23.0,64.4,80,989,20.0,15.0,1012.0,150.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,20.0,0.0,30.0,* ,527.0
3540,AL0498 ,DANIELLE  ,82818,1998,23.4,65.7,80,986,20.0,15.0,1012.0,150.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,20.0,20.0,30.0,* ,545.0
3541,AL0498 ,DANIELLE  ,82900,1998,23.9,66.9,75,989,20.0,15.0,1012.0,120.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,20.0,20.0,30.0,* ,560.0
3542,AL0498 ,DANIELLE  ,82906,1998,24.3,68.2,70,990,20.0,15.0,1012.0,120.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,20.0,20.0,30.0,* ,540.0
3543,AL0498 ,DANIELLE  ,82912,1998,24.8,69.4,70,988,20.0,15.0,1012.0,120.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,20.0,20.0,30.0,* ,569.0
3544,AL0498 ,DANIELLE  ,82918,1998,25.4,70.5,70,987,20.0,10.0,1012.0,120.0,125.0,50.0,50.0,125.0,75.0,30.0,30.0,75.0,30.0,20.0,20.0,30.0,* ,624.0
3545,AL0498 ,DANIELLE  ,83000,1998,25.9,71.4,65,987,35.0,10.0,1012.0,120.0,125.0,60.0,50.0,125.0,50.0,45.0,30.0,45.0,30.0,40.0,20.0,0.0,* ,678.0
3546,AL0498 ,DANIELLE  ,83006,1998,26.4,72.2,65,988,35.0,10.0,1012.0,120.0,125.0,50.0,50.0,125.0,40.0,0.0,25.0,40.0,25.0,0.0,0.0,25.0,* ,693.0
3547,AL0498 ,DANIELLE  ,83012,1998,26.9,73.1,65,990,35.0,15.0,1012.0,120.0,125.0,100.0,60.0,125.0,50.0,50.0,30.0,40.0,30.0,0.0,0.0,30.0,* ,693.0
3548,AL0498 ,DANIELLE  ,83018,1998,27.5,73.9,65,987,40.0,20.0,1012.0,120.0,125.0,100.0,60.0,100.0,60.0,50.0,30.0,40.0,45.0,30.0,0.0,30.0,* ,615.0
3549,AL0498 ,DANIELLE  ,83100,1998,27.9,74.1,70,983,40.0,20.0,1012.0,150.0,125.0,100.0,60.0,125.0,60.0,50.0,30.0,40.0,45.0,30.0,20.0,30.0,* ,600.0
3550,AL0498 ,DANIELLE  ,83106,1998,28.4,74.3,75,980,25.0,20.0,1012.0,150.0,150.0,125.0,100.0,125.0,90.0,60.0,40.0,50.0,45.0,25.0,25.0,25.0,* ,591.0
3551,AL0498 ,DANIELLE  ,83112,1998,29.2,74.1,90,977,25.0,20.0,1012.0,150.0,150.0,125.0,100.0,125.0,90.0,60.0,40.0,50.0,45.0,25.0,25.0,25.0,* ,636.0
3552,AL0498 ,DANIELLE  ,83118,1998,30.0,73.7,85,975,25.0,20.0,1012.0,150.0,150.0,150.0,100.0,125.0,90.0,60.0,40.0,50.0,25.0,25.0,25.0,25.0,* ,595.0
3553,AL0498 ,DANIELLE  ,90100,1998,30.9,73.3,85,973,25.0,20.0,1012.0,150.0,150.0,150.0,100.0,125.0,90.0,60.0,40.0,50.0,25.0,25.0,25.0,25.0,* ,526.0
3554,AL0498 ,DANIELLE  ,90106,1998,31.7,72.7,85,972,25.0,20.0,1010.0,150.0,150.0,150.0,100.0,100.0,90.0,60.0,40.0,50.0,25.0,25.0,25.0,25.0,* ,493.0
3555,AL0498 ,DANIELLE  ,90112,1998,32.2,72.0,85,968,25.0,20.0,1010.0,180.0,110.0,175.0,100.0,125.0,60.0,120.0,75.0,45.0,50.0,80.0,60.0,0.0,* ,505.0
3556,AL0498 ,DANIELLE  ,90118,1998,32.9,70.7,90,965,30.0,20.0,1010.0,240.0,110.0,175.0,150.0,125.0,60.0,120.0,75.0,50.0,50.0,80.0,60.0,0.0,* ,556.0
3557,AL0498 ,DANIELLE  ,90200,1998,33.7,69.1,80,967,30.0,,1008.0,200.0,110.0,175.0,150.0,125.0,60.0,120.0,75.0,50.0,50.0,80.0,60.0,0.0,* ,656.0
3558,AL0498 ,DANIELLE  ,90206,1998,34.6,67.6,75,970,30.0,,1008.0,210.0,110.0,180.0,150.0,125.0,60.0,100.0,75.0,50.0,50.0,80.0,60.0,0.0,* ,763.0
3559,AL0498 ,DANIELLE  ,90212,1998,36.0,65.4,70,975,30.0,,1008.0,210.0,,,,,,,,,,,,,* ,767.0
3560,AL0498 ,DANIELLE  ,90218,1998,37.9,63.1,70,975,30.0,,1008.0,210.0,110.0,220.0,220.0,150.0,60.0,120.0,75.0,50.0,50.0,80.0,60.0,0.0,* ,654.0
3561,AL0498 ,DANIELLE  ,90300,1998,39.9,60.1,70,970,30.0,,1006.0,180.0,110.0,250.0,220.0,150.0,60.0,120.0,75.0,50.0,50.0,80.0,60.0,0.0,* ,584.0
3562,AL0498 ,DANIELLE  ,90306,1998,42.1,57.5,70,960,30.0,,1006.0,180.0,120.0,250.0,220.0,150.0,60.0,120.0,75.0,50.0,60.0,80.0,60.0,0.0,* ,455.0
3563,AL0498 ,DANIELLE  ,90312,1998,43.4,54.8,70,965,30.0,,1006.0,180.0,180.0,250.0,220.0,150.0,60.0,80.0,80.0,60.0,40.0,50.0,50.0,40.0,* ,377.0
3564,AL0498 ,DANIELLE  ,90318,1998,44.6,51.9,65,965,30.0,,1006.0,180.0,180.0,250.0,220.0,150.0,60.0,80.0,80.0,60.0,40.0,50.0,50.0,40.0,* ,251.0
3565,AL0498 ,DANIELLE  ,90400,1998,44.8,48.5,65,975,,,,,,,,,,,,,,,,,E ,414.0
3566,AL0498 ,DANIELLE  ,90406,1998,44.9,44.0,60,985,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,733.0
3567,AL0498 ,DANIELLE  ,90412,1998,45.0,40.5,60,978,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,990.0
3568,AL0498 ,DANIELLE  ,90418,1998,45.3,37.0,60,976,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,1238.0
3569,AL0498 ,DANIELLE  ,90500,1998,45.9,33.0,60,975,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,1519.0
3570,AL0498 ,DANIELLE  ,90506,1998,46.5,28.0,60,973,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,1426.0
3571,AL0498 ,DANIELLE  ,90512,1998,47.0,25.0,60,970,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,1202.0
3572,AL0498 ,DANIELLE  ,90518,1998,48.0,22.0,60,967,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,951.0
3573,AL0498 ,DANIELLE  ,90600,1998,50.0,19.0,60,964,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,651.0
3574,AL0498 ,DANIELLE  ,90606,1998,51.5,18.0,55,965,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,533.0
3575,AL0498 ,DANIELLE  ,90612,1998,52.8,17.1,55,965,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,467.0
3576,AL0498 ,DANIELLE  ,90618,1998,53.3,16.7,55,967,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,447.0
3577,AL0498 ,DANIELLE  ,90700,1998,53.8,16.2,50,970,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,407.0
3578,AL0498 ,DANIELLE  ,90706,1998,54.5,16.0,45,975,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,396.0
3579,AL0498 ,DANIELLE  ,90712,1998,55.0,15.0,40,977,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,345.0
3580,AL0498 ,DANIELLE  ,90718,1998,55.8,14.0,35,979,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,332.0
3581,AL0498 ,DANIELLE  ,90800,1998,56.4,13.1,30,980,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,331.0
3582,AL0498 ,DANIELLE  ,90806,1998,57.0,12.0,30,980,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,329.0
3583,AL0598 ,EARL      ,83112,1998,21.6,93.5,30,1005,40.0,,1010.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,338.0
3584,AL0598 ,EARL      ,83118,1998,22.4,93.8,35,1002,40.0,,1010.0,250.0,150.0,150.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,361.0
3585,AL0598 ,EARL      ,90100,1998,23.2,93.7,35,1002,40.0,,1009.0,210.0,125.0,125.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,401.0
3586,AL0598 ,EARL      ,90106,1998,24.1,93.4,40,1001,40.0,,1009.0,200.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,427.0
3587,AL0598 ,EARL      ,90112,1998,25.0,93.1,45,999,40.0,,1008.0,200.0,100.0,150.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,421.0
3588,AL0598 ,EARL      ,90118,1998,25.8,92.5,50,998,40.0,,1008.0,200.0,150.0,150.0,25.0,25.0,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,403.0
3589,AL0598 ,EARL      ,90200,1998,26.8,91.5,50,998,40.0,,1005.0,200.0,150.0,150.0,30.0,30.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,265.0
3590,AL0598 ,EARL      ,90206,1998,27.6,90.4,50,996,50.0,,1005.0,200.0,150.0,125.0,30.0,30.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,169.0
3591,AL0598 ,EARL      ,90212,1998,28.2,89.0,70,994,50.0,,1005.0,200.0,120.0,150.0,30.0,30.0,100.0,100.0,0.0,0.0,25.0,60.0,0.0,0.0,* ,104.0
3592,AL0598 ,EARL      ,90218,1998,28.7,87.9,85,988,50.0,,1005.0,200.0,120.0,150.0,30.0,90.0,100.0,120.0,0.0,30.0,80.0,80.0,0.0,0.0,* ,143.0
3593,AL0598 ,EARL      ,90300,1998,29.4,86.8,80,985,50.0,,1005.0,200.0,120.0,175.0,30.0,90.0,100.0,120.0,0.0,60.0,80.0,100.0,0.0,50.0,* ,118.0
3594,AL0598 ,EARL      ,90306,1998,30.1,85.7,70,987,50.0,,1005.0,200.0,120.0,175.0,20.0,30.0,100.0,120.0,0.0,0.0,80.0,100.0,0.0,0.0,* ,10.0
3595,AL0598 ,EARL      ,90312,1998,31.3,84.0,45,990,50.0,,1005.0,200.0,30.0,90.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-136.0
3596,AL0598 ,EARL      ,90318,1998,32.4,82.4,40,994,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,-139.0
3597,AL0598 ,EARL      ,90400,1998,33.2,80.5,40,994,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,-67.0
3598,AL0598 ,EARL      ,90406,1998,34.5,79.0,50,995,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,-84.0
3599,AL0598 ,EARL      ,90412,1998,35.9,77.2,50,998,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,-98.0
3600,AL0598 ,EARL      ,90418,1998,36.5,75.0,50,1000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,71.0
3601,AL0598 ,EARL      ,90500,1998,38.0,71.0,50,1000,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,336.0
3602,AL0598 ,EARL      ,90506,1998,40.0,65.5,50,998,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,389.0
3603,AL0598 ,EARL      ,90512,1998,42.5,61.0,50,990,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,287.0
3604,AL0598 ,EARL      ,90518,1998,45.0,56.0,50,986,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,207.0
3605,AL0598 ,EARL      ,90600,1998,47.0,54.0,50,979,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,-5.0
3606,AL0598 ,EARL      ,90606,1998,48.0,53.0,50,968,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,0.0
3607,AL0598 ,EARL      ,90612,1998,49.0,52.0,55,964,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,86.0
3608,AL0598 ,EARL      ,90618,1998,49.5,50.0,55,966,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,240.0
3609,AL0598 ,EARL      ,90700,1998,50.0,48.0,55,968,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,394.0
3610,AL0598 ,EARL      ,90706,1998,50.5,45.0,50,970,,,,,,,,,,,,,0.0,0.0,0.0,0.0,E ,614.0
3611,AL0598 ,EARL      ,90712,1998,51.0,41.0,45,978,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,901.0
3612,AL0598 ,EARL      ,90718,1998,51.0,37.0,45,978,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,1178.0
3613,AL0598 ,EARL      ,90800,1998,51.0,32.0,40,982,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,1504.0
3614,AL0598 ,EARL      ,90806,1998,51.5,28.5,40,982,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,1252.0
3615,AL0598 ,EARL      ,90812,1998,52.0,25.0,35,983,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E ,1005.0
3616,AL0698 ,FRANCES   ,90818,1998,25.5,94.5,30,1000,30.0,,1006.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,273.0
3617,AL0698 ,FRANCES   ,90900,1998,25.3,94.4,30,1000,30.0,,1004.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,286.0
3618,AL0698 ,FRANCES   ,90906,1998,25.0,94.5,30,999,30.0,,1004.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,285.0
3619,AL0698 ,FRANCES   ,90912,1998,24.6,94.7,30,998,30.0,,1004.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,284.0
3620,AL0698 ,FRANCES   ,90918,1998,24.2,95.5,35,997,60.0,,1002.0,150.0,250.0,0.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,227.0
3621,AL0698 ,FRANCES   ,91000,1998,23.5,95.6,40,995,60.0,,1002.0,150.0,250.0,25.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,225.0
3622,AL0698 ,FRANCES   ,91006,1998,24.2,95.0,40,995,60.0,,1004.0,240.0,250.0,25.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,274.0
3623,AL0698 ,FRANCES   ,91012,1998,25.3,95.2,45,996,60.0,,1004.0,240.0,250.0,200.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,208.0
3624,AL0698 ,FRANCES   ,91018,1998,26.6,95.2,45,996,60.0,,1005.0,240.0,300.0,200.0,120.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,210.0
3625,AL0698 ,FRANCES   ,91100,1998,27.2,95.9,55,994,60.0,,1005.0,240.0,300.0,200.0,120.0,150.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,133.0
3626,AL0698 ,FRANCES   ,91106,1998,28.2,96.9,45,990,30.0,,1005.0,240.0,250.0,200.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-16.0
3627,AL0698 ,FRANCES   ,91112,1998,28.4,97.6,40,992,175.0,,1006.0,200.0,250.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-78.0
3628,AL0698 ,FRANCES   ,91118,1998,28.5,97.0,35,994,175.0,,1006.0,200.0,225.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-48.0
3629,AL0698 ,FRANCES   ,91200,1998,29.3,96.9,30,996,175.0,,1006.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-108.0
3630,AL0698 ,FRANCES   ,91206,1998,30.2,96.8,30,998,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-184.0
3631,AL0698 ,FRANCES   ,91212,1998,31.0,96.8,30,1000,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-254.0
3632,AL0698 ,FRANCES   ,91218,1998,31.3,96.8,30,1001,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-277.0
3633,AL0698 ,FRANCES   ,91300,1998,31.5,96.8,25,1002,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-293.0
3634,AL0698 ,FRANCES   ,91306,1998,31.7,96.9,20,1002,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-316.0
3635,AL0698 ,FRANCES   ,91312,1998,32.0,96.9,20,1003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-343.0
3636,AL0698 ,FRANCES   ,91318,1998,33.0,97.0,20,1003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,-442.0
3637,AL0798 ,GEORGES   ,91512,1998,9.7,25.1,30,1009,50.0,,1010.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,947.0
3638,AL0798 ,GEORGES   ,91518,1998,9.8,26.5,30,1009,50.0,,1010.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1091.0
3639,AL0798 ,GEORGES   ,91600,1998,10.0,28.1,30,1009,50.0,,1010.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1256.0
3640,AL0798 ,GEORGES   ,91606,1998,10.3,29.7,30,1009,50.0,,1010.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1415.0
3641,AL0798 ,GEORGES   ,91612,1998,10.6,31.3,35,1005,50.0,,1010.0,210.0,60.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1567.0
3642,AL0798 ,GEORGES   ,91618,1998,11.0,32.9,35,1003,30.0,,1010.0,210.0,60.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1721.0
3643,AL0798 ,GEORGES   ,91700,1998,11.3,34.6,45,1000,30.0,,1010.0,210.0,75.0,30.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,* ,1688.0
3644,AL0798 ,GEORGES   ,91706,1998,11.7,36.3,50,997,30.0,,1010.0,240.0,75.0,30.0,30.0,75.0,,,,,0.0,0.0,0.0,0.0,* ,1673.0
3645,AL0798 ,GEORGES   ,91712,1998,12.0,38.1,55,994,30.0,,1010.0,240.0,75.0,30.0,30.0,75.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,* ,1669.0
3646,AL0798 ,GEORGES   ,91718,1998,12.3,40.0,65,987,30.0,,1010.0,240.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,20.0,20.0,20.0,20.0,* ,1535.0
3647,AL0798 ,GEORGES   ,91800,1998,12.5,42.0,70,984,25.0,,1010.0,240.0,100.0,75.0,75.0,100.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1384.0
3648,AL0798 ,GEORGES   ,91806,1998,12.8,43.9,80,977,25.0,,1010.0,240.0,100.0,75.0,75.0,100.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1269.0
3649,AL0798 ,GEORGES   ,91812,1998,13.1,45.7,85,973,25.0,,1010.0,240.0,100.0,75.0,75.0,100.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1175.0
3650,AL0798 ,GEORGES   ,91818,1998,13.5,47.4,90,970,25.0,,1010.0,240.0,100.0,75.0,75.0,100.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1100.0
3651,AL0798 ,GEORGES   ,91900,1998,13.9,49.0,90,970,25.0,15.0,1010.0,240.0,105.0,110.0,80.0,110.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,* ,1058.0
3652,AL0798 ,GEORGES   ,91906,1998,14.4,50.6,95,965,25.0,15.0,1010.0,240.0,175.0,110.0,110.0,175.0,50.0,50.0,50.0,50.0,30.0,30.0,30.0,30.0,* ,1036.0
3653,AL0798 ,GEORGES   ,91912,1998,14.9,52.0,110,954,25.0,25.0,1010.0,240.0,175.0,110.0,110.0,175.0,60.0,60.0,60.0,60.0,40.0,40.0,40.0,40.0,* ,1045.0
3654,AL0798 ,GEORGES   ,91918,1998,15.4,53.5,125,949,25.0,25.0,1010.0,240.0,175.0,110.0,110.0,175.0,80.0,80.0,80.0,80.0,40.0,40.0,40.0,40.0,* ,959.0
3655,AL0798 ,GEORGES   ,92000,1998,15.7,54.9,130,939,25.0,25.0,1010.0,200.0,175.0,150.0,125.0,175.0,125.0,100.0,75.0,125.0,100.0,40.0,40.0,100.0,* ,855.0
3656,AL0798 ,GEORGES   ,92006,1998,16.0,56.3,135,937,15.0,20.0,1010.0,200.0,150.0,150.0,125.0,150.0,100.0,100.0,50.0,100.0,75.0,30.0,30.0,75.0,* ,769.0
3657,AL0798 ,GEORGES   ,92012,1998,16.2,57.7,130,939,15.0,20.0,1012.0,180.0,150.0,150.0,125.0,150.0,100.0,100.0,50.0,100.0,75.0,30.0,30.0,75.0,* ,698.0
3658,AL0798 ,GEORGES   ,92018,1998,16.4,59.2,115,956,20.0,20.0,1010.0,150.0,150.0,150.0,100.0,100.0,100.0,100.0,50.0,75.0,75.0,50.0,30.0,50.0,* ,652.0
3659,AL0798 ,GEORGES   ,92100,1998,16.7,60.6,100,963,20.0,,1010.0,150.0,150.0,150.0,100.0,100.0,100.0,100.0,50.0,75.0,75.0,50.0,40.0,50.0,* ,569.0
3660,AL0798 ,GEORGES   ,92106,1998,17.1,62.1,100,966,20.0,,1010.0,150.0,150.0,125.0,75.0,75.0,100.0,75.0,50.0,50.0,75.0,50.0,40.0,40.0,* ,404.0
3661,AL0798 ,GEORGES   ,92112,1998,17.4,63.6,95,966,20.0,17.0,1010.0,150.0,150.0,125.0,75.0,75.0,100.0,75.0,50.0,50.0,75.0,50.0,40.0,40.0,* ,244.0
3662,AL0798 ,GEORGES   ,92118,1998,17.8,65.0,90,970,20.0,15.0,1010.0,150.0,150.0,125.0,75.0,75.0,100.0,75.0,50.0,50.0,75.0,50.0,40.0,40.0,* ,92.0
3663,AL0798 ,GEORGES   ,92200,1998,18.2,66.3,90,970,20.0,,1010.0,150.0,150.0,125.0,125.0,125.0,100.0,75.0,60.0,60.0,75.0,40.0,30.0,40.0,* ,-22.0
3664,AL0798 ,GEORGES   ,92206,1998,18.0,67.4,95,972,20.0,,1010.0,150.0,150.0,125.0,125.0,125.0,100.0,75.0,60.0,60.0,50.0,40.0,30.0,40.0,* ,21.0
3665,AL0798 ,GEORGES   ,92212,1998,18.2,68.5,105,964,20.0,,1010.0,150.0,150.0,125.0,125.0,125.0,100.0,75.0,60.0,60.0,50.0,40.0,30.0,40.0,* ,8.0
3666,AL0798 ,GEORGES   ,92218,1998,18.6,69.7,95,970,20.0,,1010.0,150.0,150.0,125.0,125.0,125.0,100.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,* ,-26.0
3667,AL0798 ,GEORGES   ,92300,1998,18.8,70.8,70,980,20.0,,1006.0,180.0,150.0,125.0,125.0,125.0,100.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,* ,-48.0
3668,AL0798 ,GEORGES   ,92306,1998,19.0,72.1,65,990,20.0,,1007.0,180.0,150.0,125.0,125.0,125.0,100.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,* ,-47.0
3669,AL0798 ,GEORGES   ,92312,1998,19.3,73.3,65,996,20.0,,1007.0,180.0,150.0,125.0,125.0,125.0,100.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,* ,44.0
